filename,cluster
a.y.-jackson_algoma-in-november-1935.jpg,4
a.y.-jackson_barns-1926.jpg,7
a.y.-jackson_early-spring-quebec-1923.jpg,4
a.y.-jackson_entrance-to-halifax-harbour-1919.jpg,4
a.y.-jackson_first-snow-algoma-country-1920.jpg,4
a.y.-jackson_frozen-lake-early-spring-algonquin-park-1914.jpg,3
a.y.-jackson_grey-day-laurentians-1928.jpg,1
a.y.-jackson_hills-at-great-bear-lake-1953.jpg,4
a.y.-jackson_houses-st-urbain-1934.jpg,1
a.y.-jackson_indian-home-1927.jpg,4
a.y.-jackson_maple-woods-algoma-1920.jpg,4
a.y.-jackson_march-storm-georgian-bay-1920.jpg,3
a.y.-jackson_nellie-lake-1933.jpg,4
a.y.-jackson_night-pine-island-1921.jpg,4
a.y.-jackson_north-shore-lake-superior-1926.jpg,4
a.y.-jackson_october-morning-algoma-wartz-lake-1920.jpg,4
a.y.-jackson_river-st-urbain-1930.jpg,7
a.y.-jackson_skeena-crossing-1926.jpg,7
a.y.-jackson_skeena-crossing-1926_1.jpg,7
a.y.-jackson_smart-river-alaska-1945.jpg,0
a.y.-jackson_smart-river-alaska-1945_1.jpg,0
a.y.-jackson_spring-caribou-country-1949.jpg,4
a.y.-jackson_spring-caribou-country-1949_1.jpg,4
a.y.-jackson_st-john-s-newfoundland-1951.jpg,7
a.y.-jackson_terre-sauvage-1913.jpg,3
a.y.-jackson_the-beothic-at-bache-post-ellesmere-island-1928.jpg,2
a.y.-jackson_the-edge-of-the-maple-wood-1910.jpg,3
a.y.-jackson_the-red-maple-1914.jpg,4
a.y.-jackson_the-road-to-st-fidele-1930.jpg,7
a.y.-jackson_the-winter-road-quebec-1921.jpg,0
a.y.-jackson_valley-of-the-gouffre-river-1933.jpg,4
a.y.-jackson_wilderness-deese-bay.jpg,4
a.y.-jackson_winter-morning-charlevoix-county-1933.jpg,4
a.y.-jackson_winter-morning-charlevoix-county-1933_1.jpg,4
